term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_7850094491fdcb8c4867,"Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses) by area, production and humidity",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_0e48772960962661c0f0""]",run_5f8127cf8e6be829b1ac
term_0bc9d7812026d642cd23,Effect of social transfers on income quintile share ratio S80/S20,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c0efaa740efa305d9e9a""]",run_5f8127cf8e6be829b1ac
term_a4a4b3edcc8d7cd6085f,Effect of taxes and social transfers on income quintile share ratio S80/S20,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4b3928bf68dc6bf3606f""]",run_5f8127cf8e6be829b1ac
term_5a81cbeed5828801de9a,Effect of taxes on income quintile share ratio S80/S20,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_719b86e11d42e215a2f0""]",run_5f8127cf8e6be829b1ac
term_25afea5a7addd2535b88,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_072d52ab8b1b74fb9d2b""]",run_5f8127cf8e6be829b1ac
term_ca743b9337ba4d9b8d54,Employment,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4007880b3f83e7e147d6""]",run_5f8127cf8e6be829b1ac
term_3975fde3be8673d043a1,Employment and economic activity branches,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_9ea5b002447a7f698e26""]",run_5f8127cf8e6be829b1ac
term_6a33f33bcda42090451b,Employment and employment rates (aged 20-64) by sex,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2c71d5da53fb0de31239""]",run_5f8127cf8e6be829b1ac
term_795d9ad98feaa090e492,Employment and employment rates (aged 20-64) by sex - ENP-East countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_8bf2b04420367c1ebae4""]",run_5f8127cf8e6be829b1ac
term_ec9454af09d7d3861fda,Employment by professional status,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_f66dc08c994bf00b0e9b""]",run_5f8127cf8e6be829b1ac
term_5992c9ed3e19ee9f1cca,Employment by professional status - ENP-South countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c20c304dc9148ff9d9ca""]",run_5f8127cf8e6be829b1ac
term_7222b4430267209c516b,Employment characteristics,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_8c4dcf12ff016a6be67b""]",run_5f8127cf8e6be829b1ac
term_1216e5cffc0c3beaacd4,Employment expectations by sectors,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_818989d77335f38c75ea""]",run_5f8127cf8e6be829b1ac
term_a5c9e443dfb7c240a1b6,Employment expectations indicator,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_ba972ce7112f901053c8""]",run_5f8127cf8e6be829b1ac
term_ed103e759eb80d6441c5,Employment growth (domestic concept),measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_1944bd032556336f496a""]",run_5f8127cf8e6be829b1ac
term_65afc991fda4bfad6726,Employment growth (domestic concept) - ENP-East countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2c9d88f3ea977e13a84f""]",run_5f8127cf8e6be829b1ac
term_598b44b5a3281568bbc3,Employment in Foreign Affiliates of Domestic Enterprises,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_a9a660db3948ecf36680""]",run_5f8127cf8e6be829b1ac
term_249f821d698e17073d0f,Employment in Foreign Controlled Enterprises,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_883b076da54383722837""]",run_5f8127cf8e6be829b1ac
term_079ed5d6db4e3900293a,Employment in waterways transport enterprises by number of vessels in enterprises,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_8406134bb1d1f3a64490""]",run_5f8127cf8e6be829b1ac
